Sub_tree_id,npart,zcurr,tcurr,sn_zcurr,sn_z025,sn_z050,mstar_zcurr,fbound_zcurr,sigma50_zcurr,phase-state_zcurr,age50_prog_zcurr,age50_stream_zcurr,sigma_t_prog_zcurr,sigma_t_stream_zcurr,Z50_prog_zcurr,Z50_stream_zcurr,sigma_Z_prog_zcurr,sigma_Z_stream_zcurr,sigma_r_zcurr,mstar_z025,fbound_z025,sigma50_z025,phase-state_z025,age50_prog_z025,age50_stream_z025,sigma_t_prog_z025,sigma_t_stream_z025,Z50_prog_z025,Z50_stream_z025,sigma_Z_prog_z025,sigma_Z_stream_z025,sigma_r_z025,mstar_z050,fbound_z050,sigma50_z050,phase-state_z050,age50_prog_z050,age50_stream_z050,sigma_t_prog_z050,sigma_t_stream_z050,Z50_prog_z050,Z50_stream_z050,sigma_Z_prog_z050,sigma_Z_stream_z050,sigma_r_z050,stellar_mass,dm_mass,r_50_stars,scale_radius,gas_mass,sigma_stellar,sigma_dm,t_infall,t_quenching,birth_snap,death_snap,l_orbit_infall_x,l_orbit_infall_y,l_orbit_infall_z,l_orbit_z_curr_x,l_orbit_z_curr_y,l_orbit_z_curr_z,l_orbit_z025_x,l_orbit_z025_y,l_orbit_z025_z,l_orbit_z050_x,l_orbit_z050_y,l_orbit_z050_z,angle_orbit_disk_infall,angle_orbit_disk_z_curr,angle_orbit_disk_z025,angle_orbit_disk_z050,apocenter_radius,pericenter_radius,apocenter_time,pericenter_time,apocenter_detection,pericenter_detection,eccentricity
-1,15293,0.001248,13.818379,467,316,240,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,15059,0.001248,13.818379,467,316,240,82791407.99235131,0.913288237591326,9.584842273982543,1,7.718479629116273,12.739803117584971,1.8791663889271804,1.0126037984224971,-1.2648786563206154,-2.757831596208656,4.56790334638555,0.7221949380008644,28.780647626753414,83643609.90796533,0.975333697326105,11.875007508789013,0,4.705536381635062,9.735282682002389,2.0246926440570965,0.6933684807628617,-1.2954763308911468,-2.929185625846064,4.455140885968965,0.6792621787389899,19.298768274887923,84025333.56870535,0.9935090982619889,13.216203696864522,0,2.5132380936854024,7.052965298566157,2.000628656156734,0.5570524373749625,-1.3218609491150586,-2.976443976910869,4.456201002673996,0.7070450953305827,11.327404680804475,29795633.163303137,7462905645.370483,0.9152532813961156,1.94919003297752,582143847.4689448,33.207265905347334,41.46664550417015,5.332413764496166,13.397027128380332,0.0,467.0,-29301266717004.92,-15367302052973.225,45419279423935.98,778351508951.647,174329013771.96698,2858772083019.344,759959337240.9586,2141610417643.331,8639386365705.786,933363332253.9208,5553135582697.949,14684318979239.355,62.20933810298518,85.92044748997044,56.70276555017164,74.68504374045042,167.20244285168096,34.14331319299657,7.278357617113935,5.934388012181085,1.0,1.0,0.6608489410085172
521,3191,0.001248,13.818379,467,316,240,18240124.40954329,0.9137927775024294,5.899337118451956,1,9.146470511799668,12.475335807951785,2.265638057866332,1.3029566191665003,-1.610118197778423,-3.0262090707262126,3.8160537840253954,0.8618511783304551,24.430245704923244,18388200.435850613,0.9834727086761782,7.818615582176748,0,6.245028024374312,9.440015554605283,2.3112147716762794,0.108147501952626,-1.629227980493582,-3.5424228600066767,3.689885301632765,0.5010162715899843,11.34018244200508,18097456.697973933,0.9978681156634118,10.001697516406775,0,4.136334342984598,7.231987699533136,2.174603329180233,0.0511107298946087,-1.658221679690729,-3.796777291829999,3.7362788274162,0.5774998014322071,1.5437481100761636,16923870.42567134,2879989743.232727,0.418285068866532,1.5710412720213407,167913840.2783723,31.43913165099932,30.687940867855204,7.463129154696665,10.52566597151616,0.0,467.0,-6838972057530.92,25641400126256.09,-7012868217874.346,-1305259828096.8413,1198719820458.3372,-1555245502819.2915,-2618038659101.3857,4339998270111.2754,-4136887843970.0273,-3981446400864.232,9854271749042.742,-7355287952361.327,9.131555242481012,63.07851963265365,82.43170169397199,44.870095504433685,233.09275803573087,26.413261517857265,10.298122072355303,8.220443994724645,1.0,1.0,0.7964343057375368
538,1075,0.001248,13.818379,467,316,240,7335753.388755424,0.90721707347708,5.284118378338144,1,13.2652712959055,13.263270990526475,0.0054406806391149,0.5684937852728773,-3.1819858668781684,-3.0277286420221943,31.040852816268625,36.62723215191578,30.645957243531853,7336989.456929946,0.9779942594821508,4.550591061595062,0,10.229555089416785,10.220323432030902,0.0558880647267642,0.8361038579235005,-3.185332781832998,-2.8752454964031657,31.582327286322496,33.49827889749746,21.384602419030934,7338846.703081774,0.9925132143210934,6.6740294401190905,0,8.023850471803035,6.296043487377324,0.0055112355763331,0.4474327426433641,-3.1848334267405303,-2.4709356378592,31.84151894488817,0.3542277077223209,10.96046877215935,7287212.647497654,1273076832.294464,0.6208148423485429,1.07791901632223,2320348.8890171526,23.414508222107543,23.26460506520732,5.108096386614559,0.7185197089246713,0.0,467.0,-625400835047.765,785582298385.9926,-9954830479374.107,-857347306854.6124,-934058395825.2087,-2050671033642.203,-1695161179497.3855,-869135733753.7194,-3713641864569.624,-1252336292859.3987,-971371732758.0092,-5902235424966.756,47.67902791496989,80.71905225479644,48.89746371713614,83.57464293954156,206.9900093127569,30.46732909929514,7.698837321964678,5.684019555817151,1.0,1.0,0.7433869232845003
544,1,0.001248,13.818379,467,316,240,5567.132177466268,0.0,9999.0,2,,9.031219433042386,,0.0,,-1.6719963998424443,,0.0,0.0,5601.701008456636,0.0,9999.0,2,,5.995542355828114,,0.0,,-1.6719963998424443,,0.0,0.0,5666.981354676661,0.0,9999.0,2,,3.789860434155583,,0.0,,-1.6719963998424443,,0.0,0.0,737542.5775535405,53831581.02631569,0.3344789744395806,0.3193721680641334,119388518.55020653,33.23478514296338,31.070231070490017,4.433721927015296,,0.0,152.0,-302491626954.87787,-2232876763.588935,-4414239303623.822,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,45.960997563188606,-4.0,-4.0,-4.0,116.5706290866133,27.08360253937958,6.082774567367077,5.008938583233227,0.0,1.0,0.6229334530166523
639,10297,0.001248,13.818379,467,316,240,66290549.37726584,0.0,62.74207366630525,2,,12.86294593633327,,0.3655113583356598,,-2.351028978082702,,0.7249894874606889,10.031873553670405,66317482.51194802,0.0,63.26681269355112,2,,9.827268859118998,,0.3655113583356598,,-2.351028978082702,,0.7249894874606889,9.828022063547817,66358419.300762266,0.0,60.66454510747032,2,,7.621586937446467,,0.3655113583356598,,-2.351028978082702,,0.7249894874606889,9.85306045084964,68584969.2672491,7918866872.787476,0.4866260238986571,3.238687908306878,488343146.2002524,42.99410221387274,54.58505187456934,1.5426222786704653,,0.0,33.0,-1192199249846.3735,-959552692457.2668,1941870122976.739,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,62.73894370772422,-4.0,-4.0,-4.0,13.196640290988798,3.047506023622657,1.8535624510098008,2.023579768719444,1.0,1.0,0.6247871738410218
679,2750972,0.001248,13.818379,467,316,240,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,5642,0.001248,13.818379,467,316,240,33568423.8119458,0.1342405268673669,9.341526886895142,1,8.167384860585235,9.301082056222455,1.955614544708231,2.020725309075867,-2.032804735500135,-2.1440380318984573,3.335912608405845,5.386296393001107,55.77421837171693,33749001.94383801,0.6936699590374091,5.002708110376387,1,5.682493073451071,6.875950373685283,2.068461740223771,1.9819077041128308,-2.1210048789054485,-2.1674372956404526,5.018535180378427,5.521385756000417,23.58244155822683,33857278.33096676,0.9841899826545404,8.275061975993374,0,3.80331139488181,6.387934631874852,2.020362130586646,0.996046164279871,-2.1326131404457245,-2.783146117918569,5.23631209787583,0.5834992269272098,14.233088960156902,18111719.98269856,3937941193.580627,0.6089393040595137,1.5833676527788108,498342830.88962734,34.33691942411175,38.448235283364205,4.753981265534723,9.874516831633738,0.0,467.0,-4896585084918.661,5840175982021.575,-39877475548891.47,40033990716.99244,-171541618751.84875,-47238053967.74448,17709838000.600224,-1344810960673.559,-1175191211976.37,-4673080389511.559,-2387261670965.364,-6394494785174.943,58.20566119974498,70.82182189971196,35.364180951293136,69.63070093269036,139.45003045829458,39.440867515160924,6.856334661588862,5.332413764496166,1.0,1.0,0.559051153949562
730,11027,0.001248,13.818379,467,316,240,67311002.15517558,0.0,67.98013030023817,2,,12.670843909892511,,0.4586944879269137,,-1.7109042602189737,,0.9246813313750242,5.557503377799804,67345431.10293615,0.0,65.2643679054989,2,,9.63516683267824,,0.4586944879269137,,-1.7109042602189737,,0.9246813313750242,5.246064611419183,67397644.34375852,0.0,59.685825043208254,2,,7.42948491100571,,0.4586944879269137,,-1.7109042602189737,,0.9246813313750242,5.2450065664677,41140797.54799605,3793519735.336304,0.0832843642935904,1.5860675116396572,233257198.6805644,43.87704671238941,50.57790953321564,1.210149473150964,,0.0,235.0,6396067576307.709,4250999114943.34,629152067050.9412,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,75.24086023197874,-4.0,-4.0,-4.0,23.81836958182216,5.076734300575101,2.542648775598604,2.037494126754009,1.0,1.0,0.6486093753988669
755,121,0.001248,13.818379,467,316,240,823219.4069479,0.0,98.58027282229254,2,,13.228367033666515,,0.007678677483245,,-3.110225900378865,,0.8554129620265726,1.7185003736475988,823358.4764737629,0.0,97.05684636201482,2,,10.192689956452243,,0.007678677483245,,-3.110225900378865,,0.8554129620265726,1.9765026671466184,823567.7404513296,0.0,91.78385420875767,2,,7.987008034779715,,0.007678677483245,,-3.110225900378865,,0.8554129620265726,2.089684335667984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
