Sub_tree_id,npart,zcurr,tcurr,sn_zcurr,sn_z025,sn_z050,mstar_zcurr,fbound_zcurr,sigma50_zcurr,phase-state_zcurr,age50_prog_zcurr,age50_stream_zcurr,sigma_t_prog_zcurr,sigma_t_stream_zcurr,Z50_prog_zcurr,Z50_stream_zcurr,sigma_Z_prog_zcurr,sigma_Z_stream_zcurr,sigma_r_zcurr,mstar_z025,fbound_z025,sigma50_z025,phase-state_z025,age50_prog_z025,age50_stream_z025,sigma_t_prog_z025,sigma_t_stream_z025,Z50_prog_z025,Z50_stream_z025,sigma_Z_prog_z025,sigma_Z_stream_z025,sigma_r_z025,mstar_z050,fbound_z050,sigma50_z050,phase-state_z050,age50_prog_z050,age50_stream_z050,sigma_t_prog_z050,sigma_t_stream_z050,Z50_prog_z050,Z50_stream_z050,sigma_Z_prog_z050,sigma_Z_stream_z050,sigma_r_z050,stellar_mass,dm_mass,r_50_stars,scale_radius,gas_mass,sigma_stellar,sigma_dm,t_infall,t_quenching,birth_snap,death_snap,l_orbit_infall_x,l_orbit_infall_y,l_orbit_infall_z,l_orbit_z_curr_x,l_orbit_z_curr_y,l_orbit_z_curr_z,l_orbit_z025_x,l_orbit_z025_y,l_orbit_z025_z,l_orbit_z050_x,l_orbit_z050_y,l_orbit_z050_z,angle_orbit_disk_infall,angle_orbit_disk_z_curr,angle_orbit_disk_z025,angle_orbit_disk_z050,apocenter_radius,pericenter_radius,apocenter_time,pericenter_time,apocenter_detection,pericenter_detection,eccentricity
-1,3022,3.8e-05,13.835954,177,118,93,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,4,3.8e-05,13.835954,177,118,93,25970.98870831788,0.0,9999.0,2,,12.7612418854317,,0.0097319250296957,,-4.361062203798896,,0.853776859090118,56.58428297319959,25981.773344494824,0.0,9999.0,2,,9.68784922764489,,0.0097319250296957,,-4.361062203798896,,0.8537768590901179,22.474371617208508,25998.33632332915,0.0,9999.0,2,,7.463811973371699,,0.0097319250296956,,-4.361062203798896,,0.853776859090118,6.136084944019065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,1144,3.8e-05,13.835954,177,118,93,7776439.464270789,0.4796423096960326,5.894064579587539,1,13.284940627937072,13.284071735851162,0.0892400574950294,0.3221848006357484,-3.178728751928152,-3.097473382113392,57.96118137362456,53.859724203752144,65.36523641796724,7777820.303950518,0.9400724158784618,4.725681834035001,1,10.211217044566558,10.208549464038224,0.1298659007427453,0.7129051853424434,-3.1524115804901225,-2.943347996136698,56.77097263488599,42.03644443809525,19.54567130529298,7779921.431886855,0.973724555517415,7.445238691796612,0,7.987053345647777,7.975912769840335,0.1774216729028528,0.8582266949095819,-3.138742839100416,-2.793780614886594,56.596467185398346,0.6480068705140394,5.19021713766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,5340,3.8e-05,13.835954,177,118,93,29391918.89093744,0.9870309214527492,6.368880433001857,0,8.46237482507998,12.024352788932925,1.9060201159667505,2.0491731529846016,-1.254013143915916,-2.8136284967724485,8.39214194438548,13.712924233538448,12.695559356811945,29642762.29738123,0.998272769867859,10.202506932369756,0,5.400224167117658,9.021343755833367,1.920236820451648,0.3096158090018638,-1.255366987121774,-3.090320564298048,8.537622557753977,0.2077996077445564,2.947998631950693,30165575.854059868,0.9997948250815036,12.058457166511047,0,3.180686807592086,6.795668420155203,1.9126162557309416,0.0477459739918694,-1.2550826864038496,-3.07446186535938,8.54390834051187,0.0960084293577206,0.9253034217805316,29207980.26025296,2983233928.68042,0.2132686973176556,1.6778408332345156,122004959.48261677,39.017371258655565,29.883784458042125,7.180397842071333,10.140963254673055,0.0,177.0,-6471711602308.659,16485489396739.018,-8311087869073.493,-2949259042761.8267,4377357162654.2656,-5009773656060.866,-3880493892681.92,498026653556.974,-4955721439392.558,-3898806581442.091,7767893188737.458,-4996568445731.387,69.97847379185583,85.90757578534452,79.01112969093197,52.36037365869454,257.5728171735185,21.353899175078578,10.46310939732533,8.008573288936825,1.0,1.0,0.8468852359887182
737,8918,3.8e-05,13.835954,177,118,93,58474803.49902122,0.0,63.533403248732014,2,,13.007028687290305,,0.2268189522833921,,-2.3766584305200382,,10.86273794165077,3.5412765274245066,58491418.32682605,0.0,62.63400780067015,2,,9.933636029503491,,0.226818952283392,,-2.3766584305200382,,10.86273794165077,3.389874219406582,58516531.45881365,0.0,60.82750440285311,2,,7.709598775230301,,0.226818952283392,,-2.3766584305200382,,10.86273794165077,3.60792075002304,34866584.464907646,6527882814.407349,0.4093361938344462,2.9855460213503173,537755928.7691569,32.09924934240079,66.24826652749033,1.1053874426246135,,0.0,12.0,4649448319432.673,2906809411242.202,-2092867150015.026,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,,-4.0,-4.0,-4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
754,156,3.8e-05,13.835954,177,118,93,957194.9560468908,0.0,72.09102273297009,2,,12.46482705171297,,0.0312201529361431,,-2.155641341058921,,0.0675785284036801,2.855298221053456,957824.7165433888,0.0,72.44818450368132,2,,9.391434393926156,,0.0312201529361431,,-2.155641341058921,,0.0675785284036801,2.7943757999617898,958789.4700678762,0.0,74.55552911641921,2,,7.167397139652966,,0.0312201529361431,,-2.155641341058921,,0.0675785284036801,2.6744564202683927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,114,3.8e-05,13.835954,177,118,93,798345.842811722,0.0,78.62541245510357,2,,13.43389280829911,,0.0900030805136218,,-3.5600747432876663,,6.76865289105659,4.894179444061773,798435.2016768535,0.0,78.62115347208025,2,,10.360500150512296,,0.0900030805136219,,-3.5600747432876663,,6.768652891056591,5.966427974695597,798571.7869764951,0.0,76.97012152248847,2,,8.136462896239106,,0.0900030805136218,,-3.5600747432876663,,6.76865289105659,5.416017868593778,8483881.829306483,228181611.7465496,0.2728650609910076,,12142917.71644156,19.046231811897258,21.18055399404168,1.0035628796398814,,0.0,20.0,32989803540.089745,-50685981687.42081,84987462046.72266,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,64.81816210669673,-4.0,-4.0,-4.0,0.9862731587707728,0.237896624425542,1.5996593287974965,1.428864451044674,0.0,0.0,0.6113339380026315
937,5668,3.8e-05,13.835954,177,118,93,35597655.85379027,0.0,42.70005993679611,2,,12.17984820123348,,0.7223816759655269,,-2.189584883520297,,0.6600943771723227,35.552782855462084,35626588.622788414,0.0,24.41875373648628,2,,9.106455543446666,,0.7223816759655269,,-2.189584883520297,,0.6600943771723227,33.360861777300734,35672229.00821772,0.0,18.2274894919172,2,,6.882418289173476,,0.7223816759655269,,-2.189584883520297,,0.6600943771723227,38.30494401296863,34947772.51034975,14160118103.027344,0.6165356025051855,2.33248123886568,1068189000.4409484,43.475625106728536,52.5809767286305,4.903337166289789,,0.0,69.0,6320083872974.378,-14620081643215.598,8460374296974.705,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,70.7850740508725,-4.0,-4.0,-4.0,57.40863425981344,9.209116420205683,5.866218722141292,5.542295710046876,1.0,1.0,0.723523645688992
1440,712,3.8e-05,13.835954,177,118,93,4024299.1235867487,0.0,58.13389234597904,2,,11.728295653270788,,0.2678448558382091,,-1.376851016965674,,0.3779509883612375,6.873960131758143,4029506.2288708473,0.0,54.8634526976659,2,,8.654902995483976,,0.2678448558382091,,-1.376851016965674,,0.3779509883612375,6.797935337544417,4037622.3284968287,0.0,50.905524247031664,2,,6.430865741210785,,0.2678448558382091,,-1.376851016965674,,0.3779509883612375,6.532491584404516,22931310.813874006,5966467857.36084,0.345890316188883,3.7216049580901567,458507357.44685656,34.52803149938045,49.41620153543042,1.5996593287974965,,0.0,85.0,131221634410.32948,-6056791059638.673,4553035055123.357,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,28.38024695390668,-4.0,-4.0,-4.0,23.30098405422452,8.930743390158858,2.1498504317279106,1.899438433357752,1.0,1.0,0.4458414675062595
1509,2204310,3.8e-05,13.835954,177,118,93,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
