Sub_tree_id,npart,zcurr,tcurr,sn_zcurr,sn_z025,sn_z050,mstar_zcurr,fbound_zcurr,sigma50_zcurr,phase-state_zcurr,age50_prog_zcurr,age50_stream_zcurr,sigma_t_prog_zcurr,sigma_t_stream_zcurr,Z50_prog_zcurr,Z50_stream_zcurr,sigma_Z_prog_zcurr,sigma_Z_stream_zcurr,sigma_r_zcurr,mstar_z025,fbound_z025,sigma50_z025,phase-state_z025,age50_prog_z025,age50_stream_z025,sigma_t_prog_z025,sigma_t_stream_z025,Z50_prog_z025,Z50_stream_z025,sigma_Z_prog_z025,sigma_Z_stream_z025,sigma_r_z025,mstar_z050,fbound_z050,sigma50_z050,phase-state_z050,age50_prog_z050,age50_stream_z050,sigma_t_prog_z050,sigma_t_stream_z050,Z50_prog_z050,Z50_stream_z050,sigma_Z_prog_z050,sigma_Z_stream_z050,sigma_r_z050,stellar_mass,dm_mass,r_50_stars,scale_radius,gas_mass,sigma_stellar,sigma_dm,t_infall,t_quenching,birth_snap,death_snap,l_orbit_infall_x,l_orbit_infall_y,l_orbit_infall_z,l_orbit_z_curr_x,l_orbit_z_curr_y,l_orbit_z_curr_z,l_orbit_z025_x,l_orbit_z025_y,l_orbit_z025_z,l_orbit_z050_x,l_orbit_z050_y,l_orbit_z050_z,angle_orbit_disk_infall,angle_orbit_disk_z_curr,angle_orbit_disk_z025,angle_orbit_disk_z050,apocenter_radius,pericenter_radius,apocenter_time,pericenter_time,apocenter_detection,pericenter_detection,eccentricity
-1,9669,0.149402,11.883733,295,230,128,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1114,0.149402,11.883733,295,230,128,7604152.829400682,0.9991278285294424,8.60884815430694,0,11.33164906921517,11.3343331792809,0.0058462811757509,0.0,-3.240854571240071,-3.604590721624045,20.12129203003045,0.0,0.882236964831567,7604691.777101468,1.0,9.510192355284872,0,10.22402264171058,,0.005844799541174,,-3.2409131829478888,,20.11240793174029,,0.690721719880122,7606455.545412341,1.0,9.094915559482772,0,8.01310913178541,,0.005844799541174,,-3.2409131829478888,,20.11240793174029,,0.6549327671538027,7613637.717440724,1183089613.9144895,0.6252985789562485,0.5687980089778755,124.11680338429407,23.935300498193868,23.19028777843516,5.3361021373988935,0.7185197089246713,0.0,395.0,-2667462302453.538,6049178467730.754,-16850001111849.316,-2932235377019.245,367007251480.3119,-6609282481810.611,-4383903808478.055,1923398266820.5183,-9438869954669.809,-4016771203058.4136,1830546975328.112,-8831126153263.99,52.03545085261271,35.77262104110902,54.33141937388351,73.7934582059046,217.16267903481776,74.82718194826646,8.656819588482158,5.949369649930382,1.0,1.0,0.4874672586483994
410,6062,0.149402,11.883733,295,230,128,33300619.044053428,0.9984886090082348,8.59159802083219,0,5.963143465723283,9.790015356421131,2.1669725782442506,0.0427423123630915,-1.278114479710354,-2.9336955008313743,6.375679192658535,0.2758253510564812,3.3796063396831566,33502570.805131964,0.9984968754619198,10.02506231953361,0,4.857305090348487,8.682573854846835,2.162030463338334,0.0442189603289604,-1.278054068106098,-2.9004249873089925,6.377809158085032,0.275460522937994,1.7770431451608524,30862288.72778247,1.0,12.05802823185472,0,2.7662799623145613,,1.933001349613676,,-1.245987751197254,,6.71433639297295,,0.7470672411451588,30585131.607949734,2963147461.414337,0.297241784677463,1.1870439312730778,158239293.53678757,34.29688694686192,29.121256100446704,8.387640066120571,11.974690549762755,0.0,395.0,-3285073194644.694,22893129211021.824,-20605031312347.21,-8707915357716.153,2179706604906.7097,-11407273038423.918,-7986509993960.315,5497373075836.937,-16261409365830.645,-3576441434120.311,21930541679259.57,-21340777916103.742,88.66443082251142,49.62153379812884,55.95847375101139,88.93095065640031,282.99129213531825,36.13512596825807,11.97697227252365,9.258287604682282,1.0,1.0,0.7735372321539987
701,15089,0.149402,11.883733,295,230,128,96681388.72644614,0.0,60.95156324266282,2,,10.895702362191168,,0.381099834558701,,-2.3570772780030307,,1.4404269755984138,12.093603329811693,96700342.88101733,0.0,61.74945567178671,2,,9.788074280701396,,0.381099834558701,,-2.3570772780030307,,1.440426975598414,11.973591357406487,96763226.88454632,0.0,60.46984338313135,2,,7.577160770776226,,0.381099834558701,,-2.3570772780030307,,1.4404269755984138,11.856572463440404,24045919.999480247,4346297979.354858,0.7195811005350197,3.719995831795324,703954195.0727156,35.76836858415701,60.86703372355306,1.542507352989148,,0.0,35.0,-2356283594524.948,-2884768112436.45,5536721695067.163,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,67.74728279022885,-4.0,-4.0,-4.0,13.771742745757034,6.288456167684718,1.8115453547757256,1.9888607348650664,1.0,1.0,0.3730414942724215
714,2573169,0.149402,11.883733,295,230,128,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,121,0.149402,11.883733,295,230,128,822738.1520232366,0.0,85.90512911012169,2,,11.333486897863011,,0.046040332897134,,-2.9729287843990115,,0.7847192856766146,3.613851502628784,822799.7748459114,0.0,93.5596139831401,2,,10.225858816373242,,0.0460403328971339,,-2.9729287843990115,,0.7847192856766148,3.957892649098055,823005.2689345095,0.0,91.95491959087433,2,,8.014945306448071,,0.046040332897134,,-2.9729287843990115,,0.7847192856766146,3.993469576576905,876118.1379668415,142010925.33767223,0.1324648114251377,0.6141723799097341,63177.03575186047,12.044960924122073,16.014713869910615,0.8100427428512693,,0.0,24.0,-5539806974.007593,30222490750.903297,-7910718955.693893,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,84.96268522088697,-4.0,-4.0,-4.0,5.781565731151922,4.367866036853305,2.023579768719444,1.9888607348650664,0.0,0.0,0.1392885559125707
777,3,0.149402,11.883733,295,230,128,20204.88001667764,0.0,9999.0,2,,11.124647101279244,,0.0027120870431855,,-4.251853501290858,,0.302379436653979,9.431756616174011,20207.07787075269,0.0,9999.0,2,,10.017019019789473,,0.0027120870431855,,-4.251853501290858,,0.302379436653979,14.648694903950537,20214.36387720974,0.0,9999.0,2,,7.806105509864301,,0.0027120870431857,,-4.251853501290858,,0.302379436653979,4.122283184226829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,13381,0.149402,11.883733,295,230,128,81296259.85556746,0.3555341210970545,16.992038620186367,1,9.98063449471712,10.11343143854543,0.6549778345290745,0.6217029437074444,-1.919590886847457,-2.1253270082462823,17.877179647352268,18.46906989561237,34.617233259390105,81333445.32357088,0.443053798936434,14.084205515837697,1,8.873842998186095,9.016276196423334,0.6533810621654673,0.6073770835113101,-1.9344059083934089,-2.1517817500828667,17.770395156545195,18.64654129372434,33.17414021902602,81459400.62669545,0.6308637695157994,11.295487635565523,1,6.675541623603585,7.007341001380809,0.6468765350382781,0.5700510986652545,-1.9603075964831784,-2.2464066032084222,18.11705237111276,18.499895911320333,30.05611306783747,77903992.49643087,6141621470.451355,0.4920879043894003,3.035637834401874,388132101.508379,39.32196999487531,45.193519387010944,2.278544759058197,4.940046472745713,0.0,395.0,2098391924052.5083,-13241286245237.637,32169653553.244453,282469150005.6872,458281645518.10895,-255953180421.62985,441594407283.6903,-218236880802.1493,-417564340575.49554,-268634499135.7036,-508390614892.9014,-954248349430.7043,62.89226717526678,58.53931112459712,29.62172643531315,44.89297803292698,56.68338546054101,15.953502355120056,2.953778030442601,2.542514275314669,1.0,1.0,0.5607327671965494
1248,4347,0.149402,11.883733,295,230,128,28074665.02511843,0.00159687513455,53.13791376464633,2,11.184742245341845,11.322761985521248,0.3438897127356491,0.3962522354476418,-2.2371348380735703,-2.533609212288603,1.0891021960203229,3.838738634826474,12.948349135882667,28078852.78647191,0.0043064299190306,50.99320834505126,2,10.046547644964685,10.215140235729912,0.3579397663113204,0.3963074231968568,-2.1353284989538333,-2.534469785096452,1.091549689161319,3.8435718473489526,10.626822085471202,28092715.676422283,0.0223410747586533,35.55471904420997,2,7.364842648630804,8.004448243887975,0.3894939436871723,0.3953756960601028,-1.7378153801068843,-2.547801952675373,1.1107287114043096,3.876170139949856,13.494901170799444,21870520.43154836,2234613299.369812,0.2015384443975921,1.4291075544201923,80795830.04943176,33.55340955708171,39.64917317133255,1.210149473150964,,0.0,395.0,-175241864122.1696,-542655827845.8652,-126667720284.91998,5145595010.342432,-6435733884.934762,37677984771.90117,-24162647056.90634,-31851040371.37439,42215818765.70227,-10081561238.14138,27663866559.21168,58966795415.4114,48.8809393115826,21.53963872184226,28.477881319477408,25.480821907860506,23.14701875064089,9.796693182855638,2.409458762957009,2.023579768719444,1.0,1.0,0.4052465488629683
1250,3129,0.149402,11.883733,295,230,128,20503053.614574727,0.0,79.04486320078358,2,,11.072878691373644,,0.3231239573893453,,-2.4665434726442528,,4.970092217221013,3.5234335172565228,20506055.586330544,0.0,79.58389862175255,2,,9.965250609883872,,0.3231239573893453,,-2.4665434726442528,,4.970092217221013,3.641923987766632,20515999.18562565,0.0,75.58997177039005,2,,7.754337099958702,,0.3231239573893452,,-2.4665434726442528,,4.970092217221013,3.655628659363287,7249.131499520445,1224065870.0466156,0.2560815137980144,7.0169614096041455,161360184.39952427,0.0,48.13104690159914,1.003562137208588,,0.0,20.0,-50893533959.2798,-632410937224.3472,1105992320854.072,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,51.16490141301641,-4.0,-4.0,-4.0,0.02749645786606,0.02749645786606,1.7778842402835466,1.7778842402835466,0.0,0.0,0.0
1339,5350,0.149402,11.883733,295,230,128,34270380.55030753,1.0,10.454083110277084,0,10.804050602395373,10.423088652798636,0.5074675025965627,0.4546266494486371,-2.553975565418536,-2.796375202213456,1.4886496714470907,0.7099359143112757,8.0526996639561,34279248.00923137,0.9994514464409132,9.80239129563918,0,9.696218608834943,9.660528822740728,0.5074799272287394,0.4818431073975066,-2.553929397946918,-2.792313469030179,1.4887535638890328,0.7167908094245747,8.419017054622762,34309014.56086105,0.9990666207380112,14.053254434279696,0,7.485369170458291,7.441731719589129,0.5075168842442468,0.4617243868474686,-2.553883230475301,-2.796375202213456,1.488817630992678,0.7366297335636169,19.499960760482885,34443126.06006861,16220180988.311768,1.3297209166872268,3.466649229979525,101686503.22825724,38.28227480620607,41.770755867683455,11.97697227252365,2.677635828212332,0.0,395.0,127022551440204.31,-294095039562983.94,8897986201312.975,108509371123694.44,-214037100669334.75,-5666334938208.976,93580187264804.98,-318014013900816.56,56383114840883.04,225355731176922.3,-590102410297686.4,-62745563631739.77,79.73317926942056,83.70116450584582,85.0600025970152,38.92277792010405,119.15718758166952,92.549065780788,13.80661257472286,13.38775437240976,0.0,1.0,0.1256841561280023
